Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,609.042906461819,604.588154080249,613.695880049889,628.665448296178,637.247080191101,687.370968311715,724.371954183273,722.032898379933,764.282221636916,791.393494929898,823.013102241659,868.423731660834,958.135599490084,1035.53857384938,1104.77718764878,1149.98405842389,1194.94681370387
Burundi,BDI,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,75.8,..,..,..,..,..,..,74.2,..,..,..,..
Burundi,BDI,Rural population (% of total population),SP.RUR.TOTL.ZS,89.8935646616965,89.5020099565518,89.0156902664513,88.4383347769994,87.7755403195385,87.0329037254108,86.2160218259587,85.3304914525246,84.3819094364506,83.3758726090791,82.3179778017525,81.213821845813,80.0690015726029,78.8891138134646,77.6797553997403,76.4465231627724,75.1697161348975
Burundi,BDI,"Government expenditure per student, primary (% of GDP per capita)",SE.XPD.PRIM.PC.ZS,13.63167,15.87194,14.43146,14.45543,12.6662,12.92904,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Government expenditure per student, secondary (% of GDP per capita)",SE.XPD.SECO.PC.ZS,..,44.65009,48.60981,40.64224,32.87148,31.24881,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Government expenditure per student, tertiary (% of GDP per capita)",SE.XPD.TERT.PC.ZS,409.50155,391.45639,362.15911,345.65739,319.20286,308.79845,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Government expenditure on education, total (% of GDP)",SE.XPD.TOTL.GD.ZS,5.19290018081665,6.17194986343384,6.77524995803833,6.31925010681152,6.16777992248535,5.99539995193481,6.78452014923096,6.37133979797363,4.69199991226196,4.76202011108398,5.07864999771118,5.34668445378401,5.32158506838731,4.87114173892375,..,..,..
Burundi,BDI,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS,12.6155395507812,16.3016891479492,16.5881004333496,14.9792995452881,16.4283199310303,17.2432594299316,23.8400001525879,27.4972400665283,20.784610748291,19.7648506164551,19.5192604064941,21.2221666369194,20.7419523430914,20.4385400056007,20.6370838073023,..,..
Burundi,BDI,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,72.445,76.535,77.842,75.565,72.048,67.548,64.713,62.718,60.404,58.504,57.37,56.534,55.673,54.826,54.08,53.364,..
Burundi,BDI,Expenditure on primary education (% of government expenditure on education),SE.XPD.PRIM.ZS,51.78716,53.26733,45.41761,49.70045,43.99556,45.42999,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,Expenditure on secondary education (% of government expenditure on education),SE.XPD.SECO.ZS,24.36195,24.89275,27.91719,27.35601,24.21594,26.81717,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,Expenditure on tertiary education (% of government expenditure on education),SE.XPD.TERT.ZS,21.20969,18.34551,18.03359,17.45981,20.57904,24.23367,..,..,..,..,..,..,..,..,..,..,..
Burundi,BDI,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.FE.ZS,66.102,64.749,63.372,61.972,60.552,59.114,57.661,58.168,58.696,58.877,58.731,58.407,58.083,58.44,57.994,57.847,57.718
Burundi,BDI,"Labor force participation rate for ages 15-24, female (%) (national estimate)",SL.TLF.ACTI.1524.FE.NE.ZS,54.03,..,..,..,..,..,57.661,..,..,..,..,..,58.083,..,..,..,..
Burundi,BDI,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.MA.ZS,57.291,55.59,53.876,52.153,50.425,48.696,46.97,47.938,48.944,49.289,49.011,48.394,54.232,47.974,48.243,48.107,47.917
Burundi,BDI,"Labor force participation rate for ages 15-24, male (%) (national estimate)",SL.TLF.ACTI.1524.MA.NE.ZS,44.94,..,..,..,..,..,46.97,..,..,..,..,..,54.232,..,..,..,..
Burundi,BDI,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",SL.TLF.ACTI.1524.ZS,61.705,60.181,58.637,57.075,55.501,53.917,52.326,53.059,53.819,54.079,53.867,53.399,56.157,53.207,53.119,52.978,52.819
Burundi,BDI,"Labor force participation rate for ages 15-24, total (%) (national estimate)",SL.TLF.ACTI.1524.NE.ZS,49.76,..,..,..,..,..,52.9,..,..,..,..,..,56.406,..,..,..,..
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.FE.ZS,78.219,78.77,79.267,79.631,79.95,80.235,80.46,80.778,81.001,81.087,81.073,80.888,78.558,80.488,80.249,79.98,79.728
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15+) (national estimate)",SL.TLF.CACT.FE.NE.ZS,70.15,..,..,..,..,..,79.831,..,..,..,..,..,78.253,..,..,..,..
Burundi,BDI,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,79.12,79.722,80.272,80.687,81.056,81.392,81.662,82.007,82.277,82.394,82.395,82.206,79.252,81.752,81.566,81.292,81.036
