indicatorId,geoUnit,year,value,qualifier,magnitude
20063,ABW,2000,4502,,
20063,ABW,2001,4590,,
20063,ABW,2002,4747,,
20063,ABW,2003,4749,,
20063,ABW,2004,4877,,
20063,ABW,2005,4955,,
20063,ABW,2006,5071,,
20063,ABW,2007,5027,,
20063,ABW,2008,4859,,
20063,ABW,2009,4837,,
20063,ABW,2010,4597,,
20063,ABW,2011,4407,,
20063,ABW,2012,4711,,
20063,ABW,2013,4753,,
20063,ABW,2014,4733,,
20063,ABW,2015,4674,,
20063,ABW,2018,4332,,
20063,ABW,2019,4305,,
20063,ABW,2020,4225,,
20063,ABW,2021,4223,,
20063,ABW,2022,3853,,
20063,ABW,2024,3818,,
20063,AFG,2000,0,,NIL
20063,AFG,2001,0,,NIL
20063,AFG,2002,805074,,
20063,AFG,2003,1314468,,
20063,AFG,2004,1290341,,
20063,AFG,2005,1541255,,
20063,AFG,2006,1738326,,
20063,AFG,2007,1740727,,
20063,AFG,2008,1879647,,
20063,AFG,2009,1907595,,
20063,AFG,2010,2076942,,
20063,AFG,2011,2141833,,
20063,AFG,2012,2348306,,
20063,AFG,2013,2401135,,
20063,AFG,2014,2484471,,
20063,AFG,2015,2441909,,
20063,AFG,2016,2465546,,
20063,AFG,2017,2493535,,
20063,AFG,2018,2549573,,
20063,AFG,2019,2651994,,
20063,AGO,2008,1812695,,
20063,AGO,2009,1854910,,
20063,AGO,2010,1911675,,
20063,AGO,2011,1956032,,
20063,AGO,2015,2634205,,
20063,AGO,2021,2553541,,
20063,AGO,2023,2692958,,
20063,AIA,2000,774,,
20063,AIA,2001,728,,
20063,AIA,2002,699,,
20063,AIA,2003,719,,
20063,AIA,2004,717,,
20063,AIA,2005,736,,
20063,AIA,2006,740,,
20063,AIA,2007,757,,
20063,AIA,2008,793,,
20063,AIA,2009,773,,
20063,AIA,2010,794,,
20063,AIA,2011,795,,
20063,AIA,2012,798,,
20063,AIA,2013,755,,
20063,AIA,2014,740,,
20063,AIA,2015,772,,
20063,AIA,2019,745,,
20063,AIA,2022,646,,
20063,AIA,2023,628,,
20063,AIMS: Asia and the Pacific,2000,177361504,UIS_EST,
20063,AIMS: Asia and the Pacific,2001,175426656,,
20063,AIMS: Asia and the Pacific,2002,172153104,,
20063,AIMS: Asia and the Pacific,2003,175118672,,
20063,AIMS: Asia and the Pacific,2004,182078832,UIS_EST,
20063,AIMS: Asia and the Pacific,2005,180631904,UIS_EST,
20063,AIMS: Asia and the Pacific,2006,179905984,,
20063,AIMS: Asia and the Pacific,2007,181414464,,
20063,AIMS: Asia and the Pacific,2008,182046432,,
20063,AIMS: Asia and the Pacific,2009,181360688,,
20063,AIMS: Asia and the Pacific,2010,181095312,,
20063,AIMS: Asia and the Pacific,2011,181057008,,
20063,AIMS: Asia and the Pacific,2012,182189552,,
20063,AIMS: Asia and the Pacific,2013,185895760,,
20063,AIMS: Asia and the Pacific,2014,182938320,,
20063,AIMS: Asia and the Pacific,2015,183909616,,
20063,AIMS: Asia and the Pacific,2016,191045360,,
20063,AIMS: Asia and the Pacific,2017,190395872,,
20063,AIMS: Asia and the Pacific,2018,177652128,,
20063,AIMS: Asia and the Pacific,2019,178742944,,
20063,AIMS: Asia and the Pacific,2020,180697216,,
20063,AIMS: Asia and the Pacific,2021,181586992,,
20063,AIMS: Asia and the Pacific,2022,186089552,,
20063,AIMS: Asia and the Pacific,2023,186359936,,
20063,AIMS: Asia and the Pacific,2024,191306352,,
20063,AIMS: Central Asia,2000,2600766,,
20063,AIMS: Central Asia,2001,2569510.75,,
20063,AIMS: Central Asia,2002,2535747,,
20063,AIMS: Central Asia,2003,2499719,,
20063,AIMS: Central Asia,2004,2435840.25,,
20063,AIMS: Central Asia,2005,2368299.25,,
20063,AIMS: Central Asia,2006,2279933.25,,
20063,AIMS: Central Asia,2007,2197444.25,,
20063,AIMS: Central Asia,2008,2157231,,
20063,AIMS: Central Asia,2009,2110478,,
20063,AIMS: Central Asia,2010,2095635.125,,
20063,AIMS: Central Asia,2011,2086748.5,,
20063,AIMS: Central Asia,2012,2105293.5,,
20063,AIMS: Central Asia,2013,2148934.5,,
20063,AIMS: Central Asia,2014,2270564.25,,
20063,AIMS: Central Asia,2015,2381496.25,,
20063,AIMS: Central Asia,2016,2516918.75,,
20063,AIMS: Central Asia,2017,2678793.25,,
20063,AIMS: Central Asia,2018,2798085.25,,
20063,AIMS: Central Asia,2019,2879346,,
20063,AIMS: Central Asia,2020,2931364,,
20063,AIMS: Central Asia,2021,2966412.75,UIS_EST,
20063,AIMS: Central Asia,2022,2977146,UIS_EST,
20063,AIMS: Central Asia,2023,3062681.75,UIS_EST,
20063,AIMS: Central Asia,2024,3125981.75,,
20063,AIMS: East Asia,2000,104154504,UIS_EST,
20063,AIMS: East Asia,2001,101937512,,
20063,AIMS: East Asia,2002,96662000,UIS_EST,
20063,AIMS: East Asia,2003,90845264,UIS_EST,
20063,AIMS: East Asia,2004,96041784,UIS_EST,
20063,AIMS: East Asia,2005,92397032,UIS_EST,
20063,AIMS: East Asia,2006,89943624,,
20063,AIMS: East Asia,2007,89185256,,
20063,AIMS: East Asia,2008,88167736,,
20063,AIMS: East Asia,2009,86898432,,
20063,AIMS: East Asia,2010,86019920,,
20063,AIMS: East Asia,2011,85432608,,
20063,AIMS: East Asia,2012,85056648,,
20063,AIMS: East Asia,2013,84413600,,
20063,AIMS: East Asia,2014,82733576,,
20063,AIMS: East Asia,2015,82872712,,
20063,AIMS: East Asia,2016,83830456,,
20063,AIMS: East Asia,2017,84627816,,
20063,AIMS: East Asia,2018,85198872,,
20063,AIMS: East Asia,2019,86564288,,
20063,AIMS: East Asia,2020,87580864,,
20063,AIMS: East Asia,2021,88193336,,
20063,AIMS: East Asia,2022,88308704,,
20063,AIMS: East Asia,2023,87942528,,
20063,AIMS: East Asia,2024,88558360,,
20063,AIMS: East Asia and the Pacific,2000,105652416,UIS_EST,
20063,AIMS: East Asia and the Pacific,2001,103423192,,
20063,AIMS: East Asia and the Pacific,2002,98154088,UIS_EST,
20063,AIMS: East Asia and the Pacific,2003,92332656,UIS_EST,
20063,AIMS: East Asia and the Pacific,2004,97535688,UIS_EST,
