indicatorId,geoUnit,year,type,subtype,value
20063,ABW,2000,Data Status,Data reporting,NA
20063,ABW,2000,Source,Data sources,UIS Education Survey
20063,ABW,2001,Data Status,Data reporting,NA
20063,ABW,2001,Source,Data sources,UIS Education Survey
20063,ABW,2002,Data Status,Data reporting,NA
20063,ABW,2002,Source,Data sources,UIS Education Survey
20063,ABW,2003,Data Status,Data reporting,NA
20063,ABW,2003,Source,Data sources,UIS Education Survey
20063,ABW,2004,Data Status,Data reporting,NA
20063,ABW,2004,Source,Data sources,UIS Education Survey
20063,ABW,2005,Data Status,Data reporting,NA
20063,ABW,2005,Source,Data sources,UIS Education Survey
20063,ABW,2006,Data Status,Data reporting,NA
20063,ABW,2006,Source,Data sources,UIS Education Survey
20063,ABW,2007,Data Status,Data reporting,NA
20063,ABW,2007,Source,Data sources,UIS Education Survey
20063,ABW,2008,Data Status,Data reporting,NA
20063,ABW,2008,Source,Data sources,UIS Education Survey
20063,ABW,2009,Data Status,Data reporting,NA
20063,ABW,2009,Source,Data sources,UIS Education Survey
20063,ABW,2010,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2010 (https://cbs.aw/wp/wp-content/uploads/2013/03/Statistical-Yearbook-2010.pdf)
20063,ABW,2011,Data Status,Data reporting,NA
20063,ABW,2011,Source,Data sources,UIS Education Survey
20063,ABW,2012,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2012 (https://cbs.aw/wp/wp-content/uploads/2015/09/Statistical-YB-2012-final.pdf)
20063,ABW,2013,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2013 (https://cbs.aw/wp/wp-content/uploads/2014/10/SY-2013-final.pdf)
20063,ABW,2014,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2014 (https://cbs.aw/wp/wp-content/uploads/2016/10/05-02-H-Statistical-Yearbook-2014.pdf)
20063,ABW,2015,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2015 (https://cbs.aw/wp/wp-content/uploads/2017/08/Statistical-Yearbook-2015-v-5juli2017.pdf)
20063,ABW,2018,Data Status,Data reporting,NA
20063,ABW,2018,Source,Data sources,UIS Education Survey
20063,ABW,2019,Data Status,Data reporting,NA
20063,ABW,2019,Source,Data sources,UIS Education Survey
20063,ABW,2020,Data Status,Data reporting,NA
20063,ABW,2020,Source,Data sources,UIS Education Survey
20063,ABW,2021,Data Status,Data reporting,NA
20063,ABW,2021,Source,Data sources,UIS Education Survey
20063,ABW,2022,Data Status,Data reporting,NA
20063,ABW,2022,Source,Data sources,UIS Education Survey
20063,ABW,2024,Source,Data sources,Source: UIS Dynamic Template based on Department of Education (Statitstical Department) / University of Aruba
20063,AFG,2000,Data Status,Data reporting,NA
20063,AFG,2000,Source,Data sources,UIS Education Survey
20063,AFG,2001,Data Status,Data reporting,NA
20063,AFG,2001,Source,Data sources,UIS Education Survey
20063,AFG,2002,Data Status,Data reporting,NA
20063,AFG,2002,Source,Data sources,UIS Education Survey
20063,AFG,2003,Data Status,Data reporting,NA
20063,AFG,2003,Source,Data sources,UIS Education Survey
20063,AFG,2004,Data Status,Data reporting,NA
