indicatorId,geoUnit,year,value,qualifier,magnitude
25057,ABW,2000,957,,
25057,ABW,2001,986,,
25057,ABW,2002,962,,
25057,ABW,2003,992,,
25057,ABW,2004,1026,,
25057,ABW,2005,1259,,
25057,ABW,2006,1263,,
25057,ABW,2007,1304,,
25057,ABW,2008,1301,,
25057,ABW,2009,1281,,
25057,ABW,2010,1333,,
25057,ABW,2011,1453,,
25057,ABW,2012,1523,,
25057,ABW,2013,795,,
25057,ABW,2014,842,,
25057,ABW,2015,797,,
25057,ABW,2016,777,,
25057,ABW,2024,589,,
25057,AFG,2003,5344,UIS_EST,
25057,AFG,2004,5637,,
25057,AFG,2009,17163,,
25057,AFG,2011,23662,,
25057,AFG,2014,53613,,
25057,AFG,2018,91217,,
25057,AFG,2020,115568,,
25057,AGO,2002,5009,NAT_EST,
25057,AGO,2011,39110,,
25057,AGO,2013,98114,,
25057,AGO,2015,98376,,
25057,AGO,2016,115884,,
25057,AGO,2023,164529,,
25057,AGO,2024,170853,,
25057,AIA,2003,12,,
25057,AIA,2004,17,,
25057,AIA,2005,25,,
25057,AIA,2006,39,,
25057,AIA,2007,45,,
25057,AIA,2008,45,,
25057,AIMS: Asia and the Pacific,2000,17430318,UIS_EST,
25057,AIMS: Asia and the Pacific,2001,18898322,UIS_EST,
25057,AIMS: Asia and the Pacific,2002,21027280,UIS_EST,
25057,AIMS: Asia and the Pacific,2003,23078816,,
25057,AIMS: Asia and the Pacific,2004,25267828,,
25057,AIMS: Asia and the Pacific,2005,27120724,,
25057,AIMS: Asia and the Pacific,2006,29649536,,
25057,AIMS: Asia and the Pacific,2007,32403520,,
25057,AIMS: Asia and the Pacific,2008,35037076,,
25057,AIMS: Asia and the Pacific,2009,37531516,,
25057,AIMS: Asia and the Pacific,2010,40294656,,
25057,AIMS: Asia and the Pacific,2011,44165876,,
25057,AIMS: Asia and the Pacific,2012,47528216,UIS_EST,
25057,AIMS: Asia and the Pacific,2013,49085696,,
25057,AIMS: Asia and the Pacific,2014,55229456,,
25057,AIMS: Asia and the Pacific,2015,57403640,,
25057,AIMS: Asia and the Pacific,2016,58392328,,
25057,AIMS: Asia and the Pacific,2017,58778540,,
25057,AIMS: Asia and the Pacific,2018,59522972,,
25057,AIMS: Asia and the Pacific,2019,62289340,,
25057,AIMS: Asia and the Pacific,2020,64828928,,
25057,AIMS: Asia and the Pacific,2021,68064936,,
25057,AIMS: Asia and the Pacific,2022,70562264,,
25057,AIMS: Asia and the Pacific,2023,74040064,,
25057,AIMS: Asia and the Pacific,2024,75659096,,
25057,AIMS: Central Asia,2000,501343.6875,,
25057,AIMS: Central Asia,2001,557984.875,,
25057,AIMS: Central Asia,2002,623513.5,,
25057,AIMS: Central Asia,2003,674766.125,,
25057,AIMS: Central Asia,2004,741271.6875,,
25057,AIMS: Central Asia,2005,755492.625,,
