indicatorId,geoUnit,year,type,subtype,value
25057,ABW,2000,Data Status,Data reporting,NA
25057,ABW,2000,Source,Data sources,UIS Education Survey
25057,ABW,2001,Data Status,Data reporting,NA
25057,ABW,2001,Source,Data sources,UIS Education Survey
25057,ABW,2002,Data Status,Data reporting,NA
25057,ABW,2002,Source,Data sources,UIS Education Survey
25057,ABW,2003,Data Status,Data reporting,NA
25057,ABW,2003,Source,Data sources,UIS Education Survey
25057,ABW,2004,Data Status,Data reporting,NA
25057,ABW,2004,Source,Data sources,UIS Education Survey
25057,ABW,2005,Data Status,Data reporting,NA
25057,ABW,2005,Source,Data sources,UIS Education Survey
25057,ABW,2006,Data Status,Data reporting,NA
25057,ABW,2006,Source,Data sources,UIS Education Survey
25057,ABW,2007,Data Status,Data reporting,NA
25057,ABW,2007,Source,Data sources,UIS Education Survey
25057,ABW,2008,Data Status,Data reporting,NA
25057,ABW,2008,Source,Data sources,UIS Education Survey
25057,ABW,2009,Data Status,Data reporting,NA
25057,ABW,2009,Source,Data sources,UIS Education Survey
25057,ABW,2010,Data Status,Data reporting,NA
25057,ABW,2010,Source,Data sources,UIS Education Survey
25057,ABW,2011,Data Status,Data reporting,NA
25057,ABW,2011,Source,Data sources,UIS Education Survey
25057,ABW,2012,Data Status,Data reporting,NA
25057,ABW,2012,Source,Data sources,UIS Education Survey
25057,ABW,2013,Data Status,Data reporting,NA
25057,ABW,2013,Source,Data sources,UIS Education Survey
25057,ABW,2014,Data Status,Data reporting,NA
25057,ABW,2014,Source,Data sources,UIS Education Survey
25057,ABW,2015,Data Status,Data reporting,NA
25057,ABW,2015,Source,Data sources,UIS Education Survey
25057,ABW,2016,Data Status,Data reporting,NA
25057,ABW,2016,Source,Data sources,UIS Education Survey
25057,ABW,2024,Source,Data sources,Source: UIS Dynamic Template based on Department of Education (Statitstical Department) / University of Aruba
25057,AFG,2003,Data Status,Data reporting,NA
25057,AFG,2003,Source,Data sources,UIS Education Survey
25057,AFG,2004,Data Status,Data reporting,NA
25057,AFG,2004,Source,Data sources,UIS Education Survey
25057,AFG,2009,Data Status,Data reporting,NA
25057,AFG,2009,Source,Data sources,UIS Education Survey
25057,AFG,2011,Data Status,Data reporting,NA
25057,AFG,2011,Source,Data sources,UIS Education Survey
25057,AFG,2014,Data Status,Data reporting,NA
25057,AFG,2014,Source,Data sources,UIS Education Survey
25057,AFG,2018,Data Status,Data reporting,NA
25057,AFG,2018,Source,Data sources,UIS Education Survey
25057,AFG,2020,Data Status,Data reporting,NA
25057,AFG,2020,Source,Data sources,UIS Education Survey
25057,AGO,2002,Data Status,Data reporting,NA
25057,AGO,2002,Source,Data sources,UIS Education Survey
25057,AGO,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AGO,2013,Source,Data sources,Source: UIS Dynamic Template based on
25057,AGO,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AGO,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AGO,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AGO,2024,Source,Data sources,Source: UIS Dynamic Template based on
25057,AIA,2003,Data Status,Data reporting,NA
25057,AIA,2003,Source,Data sources,UIS Education Survey
25057,AIA,2004,Data Status,Data reporting,NA
25057,AIA,2004,Source,Data sources,UIS Education Survey
25057,AIA,2005,Data Status,Data reporting,NA
25057,AIA,2005,Source,Data sources,UIS Education Survey
25057,AIA,2006,Data Status,Data reporting,NA
25057,AIA,2006,Source,Data sources,UIS Education Survey
25057,AIA,2007,Data Status,Data reporting,NA
25057,AIA,2007,Source,Data sources,UIS Education Survey
25057,AIA,2008,Data Status,Data reporting,NA
25057,AIA,2008,Source,Data sources,UIS Education Survey
25057,ALB,2000,Data Status,Data reporting,NA
25057,ALB,2000,Source,Data sources,UIS Education Survey
25057,ALB,2001,Data Status,Data reporting,NA
25057,ALB,2001,Source,Data sources,UIS Education Survey
25057,ALB,2002,Data Status,Data reporting,NA
25057,ALB,2002,Source,Data sources,UIS Education Survey
25057,ALB,2003,Data Status,Data reporting,NA
25057,ALB,2003,Source,Data sources,UIS Education Survey
25057,ALB,2004,Data Status,Data reporting,NA
25057,ALB,2004,Source,Data sources,UIS Education Survey
25057,ALB,2005,Data Status,Data reporting,NA
25057,ALB,2005,Source,Data sources,UIS Education Survey
25057,ALB,2006,Data Status,Data reporting,NA
25057,ALB,2006,Source,Data sources,UIS Education Survey
25057,ALB,2007,Data Status,Data reporting,NA
25057,ALB,2007,Source,Data sources,UIS Education Survey
25057,ALB,2008,Data Status,Data reporting,NA
25057,ALB,2008,Source,Data sources,UIS Education Survey
25057,ALB,2009,Data Status,Data reporting,NA
25057,ALB,2009,Source,Data sources,UIS Education Survey
25057,ALB,2010,Data Status,Data reporting,NA
25057,ALB,2010,Source,Data sources,UIS Education Survey
25057,ALB,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ALB,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2002,Data Status,Data reporting,NA
25057,AND,2002,Source,Data sources,UIS Education Survey
25057,AND,2003,Data Status,Data reporting,NA
25057,AND,2003,Source,Data sources,UIS Education Survey
25057,AND,2004,Data Status,Data reporting,NA
25057,AND,2004,Source,Data sources,UIS Education Survey
25057,AND,2005,Data Status,Data reporting,NA
25057,AND,2005,Source,Data sources,UIS Education Survey
25057,AND,2006,Data Status,Data reporting,NA
25057,AND,2006,Source,Data sources,UIS Education Survey
25057,AND,2008,Data Status,Data reporting,NA
25057,AND,2008,Source,Data sources,UIS Education Survey
25057,AND,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,AND,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARE,2024,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2000,Data Status,Data reporting,NA
25057,ARG,2000,Source,Data sources,UIS Education Survey
25057,ARG,2001,Data Status,Data reporting,NA
25057,ARG,2001,Source,Data sources,UIS Education Survey
25057,ARG,2002,Data Status,Data reporting,NA
25057,ARG,2002,Source,Data sources,UIS Education Survey
25057,ARG,2003,Data Status,Data reporting,NA
25057,ARG,2003,Source,Data sources,UIS Education Survey
25057,ARG,2004,Data Status,Data reporting,NA
25057,ARG,2004,Source,Data sources,UIS Education Survey
25057,ARG,2005,Data Status,Data reporting,NA
25057,ARG,2005,Source,Data sources,UIS Education Survey
25057,ARG,2006,Data Status,Data reporting,NA
25057,ARG,2006,Source,Data sources,UIS Education Survey
25057,ARG,2007,Data Status,Data reporting,NA
25057,ARG,2007,Source,Data sources,UIS Education Survey
25057,ARG,2008,Data Status,Data reporting,NA
25057,ARG,2008,Source,Data sources,UIS Education Survey
25057,ARG,2009,Data Status,Data reporting,NA
25057,ARG,2009,Source,Data sources,UIS Education Survey
25057,ARG,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARG,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2000,Data Status,Data reporting,NA
25057,ARM,2000,Source,Data sources,UIS Education Survey
25057,ARM,2001,Data Status,Data reporting,NA
25057,ARM,2001,Source,Data sources,UIS Education Survey
25057,ARM,2002,Data Status,Data reporting,NA
25057,ARM,2002,Source,Data sources,UIS Education Survey
25057,ARM,2003,Data Status,Data reporting,NA
25057,ARM,2003,Source,Data sources,UIS Education Survey
25057,ARM,2004,Data Status,Data reporting,NA
25057,ARM,2004,Source,Data sources,UIS Education Survey
25057,ARM,2005,Data Status,Data reporting,NA
25057,ARM,2005,Source,Data sources,UIS Education Survey
25057,ARM,2006,Data Status,Data reporting,NA
25057,ARM,2006,Source,Data sources,UIS Education Survey
25057,ARM,2007,Data Status,Data reporting,NA
25057,ARM,2007,Source,Data sources,UIS Education Survey
25057,ARM,2008,Data Status,Data reporting,NA
25057,ARM,2008,Source,Data sources,UIS Education Survey
25057,ARM,2009,Data Status,Data reporting,NA
25057,ARM,2009,Source,Data sources,UIS Education Survey
25057,ARM,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2014,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2015,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
25057,ARM,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
