indicatorId,geoUnit,year,value,qualifier,magnitude
CR.MOD.1.F,AFG,2000,8.5,UIS_EST,
CR.MOD.1.F,AFG,2001,9.1,UIS_EST,
CR.MOD.1.F,AFG,2002,9.9,UIS_EST,
CR.MOD.1.F,AFG,2003,11.1,UIS_EST,
CR.MOD.1.F,AFG,2004,12.6,UIS_EST,
CR.MOD.1.F,AFG,2005,14.4,UIS_EST,
CR.MOD.1.F,AFG,2006,16.6,UIS_EST,
CR.MOD.1.F,AFG,2007,19.1,UIS_EST,
CR.MOD.1.F,AFG,2008,21.7,UIS_EST,
CR.MOD.1.F,AFG,2009,24.5,UIS_EST,
CR.MOD.1.F,AFG,2010,27.4,UIS_EST,
CR.MOD.1.F,AFG,2011,30.5,UIS_EST,
CR.MOD.1.F,AFG,2012,33.4,UIS_EST,
CR.MOD.1.F,AFG,2013,36.3,UIS_EST,
CR.MOD.1.F,AFG,2014,39.2,UIS_EST,
CR.MOD.1.F,AFG,2015,42,UIS_EST,
CR.MOD.1.F,AFG,2016,44.7,UIS_EST,
CR.MOD.1.F,AFG,2017,47.3,UIS_EST,
CR.MOD.1.F,AFG,2018,49.9,UIS_EST,
CR.MOD.1.F,AFG,2019,52.5,UIS_EST,
CR.MOD.1.F,AFG,2020,55.00000000000001,UIS_EST,
CR.MOD.1.F,AFG,2021,57.49999999999999,UIS_EST,
CR.MOD.1.F,AFG,2022,59.8,UIS_EST,
CR.MOD.1.F,AFG,2023,62,UIS_EST,
CR.MOD.1.F,AFG,2024,64.2,UIS_EST,
CR.MOD.1.F,AGO,2000,27.8,UIS_EST,
CR.MOD.1.F,AGO,2001,29.3,UIS_EST,
CR.MOD.1.F,AGO,2002,30.7,UIS_EST,
CR.MOD.1.F,AGO,2003,32.4,UIS_EST,
CR.MOD.1.F,AGO,2004,34,UIS_EST,
CR.MOD.1.F,AGO,2005,35.6,UIS_EST,
CR.MOD.1.F,AGO,2006,37.1,UIS_EST,
CR.MOD.1.F,AGO,2007,38.6,UIS_EST,
CR.MOD.1.F,AGO,2008,40.2,UIS_EST,
CR.MOD.1.F,AGO,2009,41.8,UIS_EST,
CR.MOD.1.F,AGO,2010,43.6,UIS_EST,
CR.MOD.1.F,AGO,2011,45.2,UIS_EST,
CR.MOD.1.F,AGO,2012,46.9,UIS_EST,
CR.MOD.1.F,AGO,2013,48.4,UIS_EST,
CR.MOD.1.F,AGO,2014,49.9,UIS_EST,
CR.MOD.1.F,AGO,2015,51.4,UIS_EST,
CR.MOD.1.F,AGO,2016,52.90000000000001,UIS_EST,
CR.MOD.1.F,AGO,2017,54.40000000000001,UIS_EST,
CR.MOD.1.F,AGO,2018,55.90000000000001,UIS_EST,
CR.MOD.1.F,AGO,2019,57.49999999999999,UIS_EST,
CR.MOD.1.F,AGO,2020,59,UIS_EST,
CR.MOD.1.F,AGO,2021,60.6,UIS_EST,
CR.MOD.1.F,AGO,2022,62.1,UIS_EST,
CR.MOD.1.F,AGO,2023,63.7,UIS_EST,
CR.MOD.1.F,AGO,2024,65.3,UIS_EST,
CR.MOD.1.F,ALB,2000,96.1,UIS_EST,
CR.MOD.1.F,ALB,2001,96.3,UIS_EST,
CR.MOD.1.F,ALB,2002,96.6,UIS_EST,
CR.MOD.1.F,ALB,2003,96.89999999999999,UIS_EST,
CR.MOD.1.F,ALB,2004,97.2,UIS_EST,
CR.MOD.1.F,ALB,2005,97.5,UIS_EST,
CR.MOD.1.F,ALB,2006,97.7,UIS_EST,
CR.MOD.1.F,ALB,2007,97.89999999999999,UIS_EST,
CR.MOD.1.F,ALB,2008,98.1,UIS_EST,
CR.MOD.1.F,ALB,2009,98.3,UIS_EST,
CR.MOD.1.F,ALB,2010,98.3,UIS_EST,
CR.MOD.1.F,ALB,2011,98.3,UIS_EST,
CR.MOD.1.F,ALB,2012,98.3,UIS_EST,
CR.MOD.1.F,ALB,2013,98.3,UIS_EST,
CR.MOD.1.F,ALB,2014,98.2,UIS_EST,
CR.MOD.1.F,ALB,2015,98.1,UIS_EST,
CR.MOD.1.F,ALB,2016,98.1,UIS_EST,
