indicatorId,geoUnit,year,type,subtype,value
CR.MOD.1.F,AFG,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AFG,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AGO,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ALB,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARG,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2005,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2006,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2007,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2008,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2009,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2010,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2011,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2012,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2013,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2014,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2015,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2016,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2017,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2018,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2019,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2020,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2021,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2022,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2023,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,ARM,2024,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AUS,2000,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AUS,2001,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AUS,2002,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AUS,2003,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AUS,2004,Source,Data sources,GEMR modelled data; 17 February 2025
CR.MOD.1.F,AUS,2005,Source,Data sources,GEMR modelled data; 17 February 2025
