indicatorId,geoUnit,year,type,subtype,value
GER.1.F,ABW,2001,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2001,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2002,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2002,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2003,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2003,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2004,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2004,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2005,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2005,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2006,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2006,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2007,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2007,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2008,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2008,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2009,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2009,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2010,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2010,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2011,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2011,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2012,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2012,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2013,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2013 (https://cbs.aw/wp/wp-content/uploads/2014/10/SY-2013-final.pdf)
GER.1.F,ABW,2014,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2014,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2015,Source,Data sources,Source: UIS Dynamic Template based on Statistical Yearbook 2015 (https://cbs.aw/wp/wp-content/uploads/2017/08/Statistical-Yearbook-2015-v-5juli2017.pdf)
GER.1.F,ABW,2018,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2018,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2019,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2019,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2020,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2020,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2021,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2021,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2022,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
GER.1.F,ABW,2022,Source,Data sources,UIS Education Survey
GER.1.F,ABW,2024,Source,Data sources,Source: UIS Dynamic Template based on Department of Education (Statitstical Department) / University of Aruba
GER.1.F,AFG,2000,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2000,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2001,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2001,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2002,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2003,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2003,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2004,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2004,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2005,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2006,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2006,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2007,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2007,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2008,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
GER.1.F,AFG,2009,Source,Data sources,UIS Education Survey
GER.1.F,AFG,2010,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
