indicatorId,geoUnit,year,type,subtype,value
NERT.1.F.CP,AGO,2008,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AGO,2008,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AGO,2009,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AGO,2009,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AGO,2010,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AGO,2010,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AGO,2011,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AGO,2011,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AGO,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,AIA,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AIA,2002,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AIA,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AIA,2005,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ALB,2003,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
NERT.1.F.CP,ALB,2003,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ALB,2004,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
NERT.1.F.CP,ALB,2004,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ALB,2008,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
NERT.1.F.CP,ALB,2008,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ALB,2009,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
NERT.1.F.CP,ALB,2009,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ALB,2010,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ALB,2011,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ALB,2012,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ALB,2013,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ALB,2020,Data Status,Data reporting,"POPULATION DATA: Eurostat, Population and Demography Database"
NERT.1.F.CP,ALB,2020,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ALB,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ALB,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ALB,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,AND,2014,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2014,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2015,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2015,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2016,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2016,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2017,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2017,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2018,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2018,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2019,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2019,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2020,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2020,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2021,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2021,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2022,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,AND,2022,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AND,2024,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARE,2005,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,ARE,2005,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARE,2006,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,ARE,2006,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARE,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARE,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARE,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARE,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARE,2022,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,ARE,2022,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARE,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2002,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2002,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2003,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2003,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2005,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2005,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2006,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2006,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2011,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2011,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2012,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2012,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2013,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2013,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2014,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2014,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2015,Data Status,Data reporting,POPULATION DATA: UNDESA World Population Prospects 2024 revision
NERT.1.F.CP,ARM,2015,Source,Data sources,UIS Education Survey
NERT.1.F.CP,ARM,2016,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2017,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2018,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2019,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2020,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2021,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2022,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ARM,2023,Source,Data sources,Source: UIS Dynamic template based on UIS Education Survey
NERT.1.F.CP,ATG,2013,Source,Data sources,Source: UIS Dynamic Template based on Antigua and Barbuda Educational Statistical Digest 2012 - 2015 (https://statistics.gov.ag/wp-content/uploads/2017/11/Education-Statistical-Digest-2012-2015.pdf)
NERT.1.F.CP,AUS,2000,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2000,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2001,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2001,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2003,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2003,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2004,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2004,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2005,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2005,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2006,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2006,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2011,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2011,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2012,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2012,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2018,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2018,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2019,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2019,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2020,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2020,Source,Data sources,UIS Education Survey
NERT.1.F.CP,AUS,2021,Data Status,Data reporting,POPULATION DATA: National population in UIS Education Survey
NERT.1.F.CP,AUS,2021,Source,Data sources,UIS Education Survey
